Average Income - Female (copy)	Average Income - Female	Average Income - Male	Difference	1	% of Total	Difference in Income	Female to Male Income	Number of Records	Occupation
39208	39208			1				1	Mothercraft nurse
33574	33574	37204	3630	1	90%	3630	0.902429846	1	Motion picture projectionist
57837	57837	84073	26236	1	69%	26236	0.687937864	1	Motor mechanic – diesel
44313	44313	49251	4938	1	90%	4938	0.899738076	1	Motor vehicle accessories fitter
47355	47355	59009	11654	1	80%	11654	0.802504703	1	Motor vehicle body builder
46767	46767	62724	15957	1	75%	15957	0.745599770	1	Motor vehicle licence inspector
37041	37041	50879	13838	1	73%	13838	0.728021384	1	Motor vehicle painter
32766	32766	46961	14195	1	70%	14195	0.697727902	1	Motor vehicle trimmer
30219	30219	45367	15148	1	67%	15148	0.666100910	1	Motorcycle mechanic
99131	99131	29760	-69371	1	333%	-69371	3.331014785	1	Mountain guide
53517	53517	62411	8894	1	86%	8894	0.857493070	1	Multimedia designer
28364	28364	27977	-387	1	101%	-387	1.013832791	1	Mushroom picker
43092	43092	49293	6201	1	87%	6201	0.874201205	1	Music researcher; Musician – other music professional
38681	38681	42373	3692	1	91%	3692	0.912869044	1	Music teacher – private
32510	32510	39670	7160	1	82%	7160	0.819510965	1	Musical instrument repairer; Piano tuner
38600	38600	53956	15356	1	72%	15356	0.715397731	1	Naturopath
79973	79973	118596	38623	1	67%	38623	0.674331343	1	Naval architect
155217	155217	298543	143326	1	52%	143326	0.519915054	1	Neurologist
323682	323682	577674	253992	1	56%	253992	0.560319488	1	Neurosurgeon
59598	59598	82046	22448	1	73%	22448	0.726397387	1	Newspaper journalist; Print journalist
32138	32138	49622	17484	1	65%	17484	0.647656281	1	Newspaper photographer; Photographer
97247	97247	136365	39118	1	71%	39118	0.713137535	1	Newsreader – television; Television announcer; Television presenter
24608	24608	26058	1450	1	94%	1450	0.944354901	1	Night filler; Shelf filler
48295	48295	49913	1618	1	97%	1618	0.967583595	1	Night watchperson; Railway employee – patrol officer; Security guard; Security officer
44797	44797	56528	11731	1	79%	11731	0.792474526	1	Noxious weeds and pest inspector; Pest and noxious weeds inspector
64092	64092	83341	19249	1	77%	19249	0.769033249	1	Nuclear medicine technologist
55240	55240	65313	10073	1	85%	10073	0.845773429	1	Nurse consultant – clinical; Nursing sister; Registered nurse – general; Registered nurse – other; Registered nurse – other; Student registered nurse
64341	64341	75970	11629	1	85%	11629	0.846926418	1	Nurse educator
57585	57585	69132	11547	1	83%	11547	0.832971706	1	Nurse practitioner
30339	30339	35600	5261	1	85%	5261	0.852219101	1	Nursery assistant – horticulture; Nursery hand – plants
34524	34524	38028	3504	1	91%	3504	0.907857368	1	Nursing assistant or aide
95509	95509	108327	12818	1	88%	12818	0.881673082	1	Nursing clinical director
79294	79294	83954	4660	1	94%	4660	0.944493413	1	Nursing supervisor or manager
37282	37282	54081	16799	1	69%	16799	0.689373347	1	Occupation not listed
77744	77744	108049	30305	1	72%	30305	0.719525401	1	Occupational health and safety adviser
53530	53530	68583	15053	1	78%	15053	0.780514122	1	Occupational therapist
52565	52565	66280	13715	1	79%	13715	0.793074834	1	Office administrator; Office manager
50361	50361	58871	8510	1	86%	8510	0.855446655	1	Office machine mechanic
51118	51118	54721	3603	1	93%	3603	0.934156905	1	Office secretary or stenographer; Stenographer
28263	28263	34636	6373	1	82%	6373	0.816000693	1	Office trainee Other clerical and
38388	38388	55993	17605	1	69%	17605	0.685585698	1	Opera singer; Singer; Vocalist
43007	43007	48205	5198	1	89%	5198	0.892168862	1	Operating theatre technician
217242	217242	552947	335705	1	39%	335705	0.392880330	1	Ophthalmologist
36736	36736	47475	10739	1	77%	10739	0.773796735	1	Optical dispenser
46912	46912	55069	8157	1	85%	8157	0.851876736	1	Optical mechanic
76331	76331	105811	29480	1	72%	29480	0.721390026	1	Optometrist
31276	31276	36303	5027	1	86%	5027	0.861526596	1	Order clerk; Sales clerk
78596	78596	97030	18434	1	81%	18434	0.810017520	1	Organisational psychologist
159479	159479	439629	280150	1	36%	280150	0.362758144	1	Orthopaedic surgeon
55222	55222	86274	31052	1	64%	31052	0.640076964	1	Orthoptist
53099	53099	72301	19202	1	73%	19202	0.734415845	1	Orthotist; Prosthetist
51795	51795	67015	15220	1	77%	15220	0.772886667	1	Osteopath
200136	200136	445939	245803	1	45%	245803	0.448796809	1	Otorhinolaryngologist
26314	26314	31821	5507	1	83%	5507	0.826938185	1	Outdoor adventure guide – other
27852	27852	31825	3973	1	88%	3973	0.875161037	1	Outdoor adventure instructor
68174	68174	74441	6267	1	92%	6267	0.915812523	1	Owner – bus, truck, limnousine or hire car; Owner-driver – bus; Owner-driver – truck; Transport company manager
30992	30992	32852	1860	1	94%	1860	0.943382442	1	Packer – other
175314	175314	282508	107194	1	62%	107194	0.620562958	1	Paediatric surgeon
147347	147347	239405	92058	1	62%	92058	0.615471690	1	Paediatrician
24978	24978	38738	13760	1	64%	13760	0.644793226	1	Painter – visual arts
47827	47827	53846	6019	1	89%	6019	0.888218252	1	Panel beater
41562	41562	65364	23802	1	64%	23802	0.635854599	1	Paper and pulp mill worker; Process worker – paper and pulp mill worker
62384	62384	88594	26210	1	70%	26210	0.704156038	1	Paper mill operator; Pulp mill operator
44852	44852	69019	24167	1	65%	24167	0.649850041	1	Paper products machine operator; Paper products maker
52885	52885	64570	11685	1	82%	11685	0.819033607	1	Park ranger
49735	49735	56300	6565	1	88%	6565	0.883392540	1	Parking inspector
66376	66376	72121	5745	1	92%	5745	0.920342203	1	Parole officer
69858	69858	100712	30854	1	69%	30854	0.693641274	1	Patents examiner
90935	90935	224378	133443	1	41%	133443	0.405275918	1	Pathologist
33988	33988	36404	2416	1	93%	2416	0.933633667	1	Pathology collector; Phlebotomist
46631	46631	59835	13204	1	78%	13204	0.779326481	1	Paving and surfacing labourer; Road maintenance worker
123281	123281	72243	-51038	1	171%	-51038	1.706476752	1	Paving plant operator
52580	52580	62768	10188	1	84%	10188	0.837687994	1	Payroll clerk
31146	31146	35705	4559	1	87%	4559	0.872314802	1	Personal care assistant
45048	45048	51086	6038	1	88%	6038	0.881807149	1	Pest controller
25546	25546	31400	5854	1	81%	5854	0.813566879	1	Pet groomer
133315	133315	185808	52493	1	72%	52493	0.717487945	1	Petroleum engineer
61484	61484	86047	24563	1	71%	24563	0.714539728	1	Pharmacist – retail
38656	38656	51628	12972	1	75%	12972	0.748740993	1	Pharmacy technician
30009	30009	38750	8741	1	77%	8741	0.774425806	1	Photographic studio assistant
31993	31993	34907	2914	1	92%	2914	0.916521042	1	Physio assistant
56991	56991	73996	17005	1	77%	17005	0.770190281	1	Physiologist
57738	57738	72266	14528	1	80%	14528	0.798964935	1	Physiotherapist
32523	32523	39197	6674	1	83%	6674	0.829731867	1	Picture framer
43335	43335	50571	7236	1	86%	7236	0.856914042	1	Pig farmer or farm overseer
31497	31497	50366	18869	1	63%	18869	0.625362348	1	Plasterer
281608	281608	448530	166922	1	63%	166922	0.627846521	1	Plastic and reconstructive surgeon
41748	41748	63602	21854	1	66%	21854	0.656394453	1	Plastic cablemaking machine operator
39940	39940	55633	15693	1	72%	15693	0.717919221	1	Plastic compounding and reclamation machine operator
47431	47431	66409	18978	1	71%	18978	0.714225481	1	Plastics fabricator or welder
37839	37839	44298	6459	1	85%	6459	0.854192063	1	Plastics plant hand or labourer
41682	41682	66035	24353	1	63%	24353	0.631210722	1	Plastics technician
46061	46061	65133	19072	1	71%	19072	0.707183762	1	Plumber – general
38469	38469	37773	-696	1	102%	-696	1.018425860	1	Plumber’s assistant
69430	69430	73446	4016	1	95%	4016	0.945320371	1	Plumbing inspector
59165	59165	76167	17002	1	78%	17002	0.776779970	1	Podiatrist
76689	76689	94064	17375	1	82%	17375	0.815285338	1	Policy adviser or analyst
103079	103079	123921	20842	1	83%	20842	0.831812203	1	Policy and planning manager; Public policy manager; Public servant – executive level 1 or 2; Public servant – first assitant secretary or secretary; Public servant – senior agency executive; Public se
59446	59446	68432	8986	1	87%	8986	0.868687164	1	Post office manager
41931	41931	52463	10532	1	80%	10532	0.799248995	1	Postal delivery officer
45223	45223	53555	8332	1	84%	8332	0.844421623	1	Postal sorting officer
28390	28390	40971	12581	1	69%	12581	0.692929145	1	Potter or ceramic artist
33309	33309	36842	3533	1	90%	3533	0.904104012	1	Poultry farm hand
48834	48834	56168	7334	1	87%	7334	0.869427432	1	Poultry farmer or farm overseer
40296	40296	42156	1860	1	96%	1860	0.955878167	1	Poultry process worker
89702	89702	131704	42002	1	68%	42002	0.681087894	1	Power generation plant operator
59676	59676	97740	38064	1	61%	38064	0.610558625	1	Pressure welder
39045	39045	45741	6696	1	85%	6696	0.853610546	1	Pricing clerk; Stock clerk; Stores clerk
76673	76673	97761	21088	1	78%	21088	0.784290259	1	Primary health organisation manager
35468	35468	49970	14502	1	71%	14502	0.709785872	1	Printer’s assistant; Printer’s hand
44026	44026	65750	21724	1	67%	21724	0.669596958	1	Printing machinist
34210	34210	45875	11665	1	75%	11665	0.745722071	1	Printing table worker
50056	50056	64541	14485	1	78%	14485	0.775569018	1	Private detective; Private investigator
47867	47867	64063	16196	1	75%	16196	0.747186363	1	Product examiner
40956	40956	59206	18250	1	69%	18250	0.691754214	1	Product tester
49765	49765	51601	1836	1	96%	1836	0.964419294	1	Production assistant – film, television, radio or stage
76397	76397	96343	19946	1	79%	19946	0.792968872	1	Production or plant engineer
50353	50353	65539	15186	1	77%	15186	0.768290636	1	Production tally or scheduling clerk; Traffic controller – television or radio
85424	85424	107114	21690	1	80%	21690	0.797505461	1	Professor; University lecturer
80073	80073	113072	32999	1	71%	32999	0.708159403	1	Program director – television or radio
28797	28797	34801	6004	1	83%	6004	0.827476222	1	Program seller; Retail assistant – other; Salesperson – other; Shop assistant – other
33905	33905	50745	16840	1	67%	16840	0.668144645	1	Proofreader
152437	152437	234557	82120	1	65%	82120	0.649893203	1	Psychiatrist
49439	49439	61018	11579	1	81%	11579	0.810236324	1	Psychotherapist
74509	74509	103710	29201	1	72%	29201	0.718436024	1	Public relations manager
58552	58552	72221	13669	1	81%	13669	0.810733720	1	Purchasing officer or clerk
66212	66212	89991	23779	1	74%	23779	0.735762465	1	Quality assurance manager
73430	73430	113366	39936	1	65%	39936	0.647725067	1	Quantity surveyor
55033	55033	79447	24414	1	69%	24414	0.692700794	1	Racing car driver
135678	135678	336994	201316	1	40%	201316	0.402612509	1	Radiation oncologist
		48030		1				1	Radiator repairer
60804	60804	65602	4798	1	93%	4798	0.926861986	1	Radio dispatcher
59138	59138	71141	12003	1	83%	12003	0.831278728	1	Radio journalist
59325	59325	77409	18084	1	77%	18084	0.766383754	1	Radiocommunications technician
69454	69454	93711	24257	1	74%	24257	0.741150985	1	Radiographer
66700	66700	81501	14801	1	82%	14801	0.818394866	1	Railway employee – guard; Railway employee – station assistant
79890	79890	99118	19228	1	81%	19228	0.806008999	1	Railway signal operator
74737	74737	97952	23215	1	76%	23215	0.762996161	1	Railway station manager
78978	78978	93632	14654	1	84%	14654	0.843493677	1	Railway track plant operator
61891	61891	80378	18487	1	77%	18487	0.769999254	1	Railway track worker
66271	66271	110559	44288	1	60%	44288	0.599417506	1	Real estate agency manager
62056	62056	88045	25989	1	70%	25989	0.704821398	1	Real estate agent
49080	49080	92500	43420	1	53%	43420	0.530594595	1	Real estate property manager
34360	34360	28089	-6271	1	122%	-6271	1.223254655	1	Receptionist – general
49413	49413	57673	8260	1	86%	8260	0.856778735	1	Records administrator
35776	35776	46650	10874	1	77%	10874	0.766902465	1	Recreation officer
60041	60041	78897	18856	1	76%	18856	0.761004854	1	Recruitment consultant
34581	34581	38441	3860	1	90%	3860	0.899586379	1	Recycling worker
19389	19389	33904	14515	1	57%	14515	0.571879424	1	Referee; Umpire – sports
42545	42545	45251	2706	1	94%	2706	0.940200217	1	Refuge worker
82337	82337	103899	21562	1	79%	21562	0.792471535	1	Regional education manager
43670	43670	48673	5003	1	90%	5003	0.897212007	1	Registered nurse – aged care
56275	56275	70417	14142	1	80%	14142	0.799167815	1	Registered nurse – child and family health
53850	53850	65434	11584	1	82%	11584	0.822966653	1	Registered nurse – community health
63150	63150	74730	11580	1	85%	11580	0.845042152	1	Registered nurse – critical care and emergency
55822	55822	63420	7598	1	88%	7598	0.880195522	1	Registered nurse – developmental disability
52739	52739	59809	7070	1	88%	7070	0.881790366	1	Registered nurse – disability and rehabilitation
58025	58025	69594	11569	1	83%	11569	0.833764405	1	Registered nurse – medical
50074	50074	57353	7279	1	87%	7279	0.873084233	1	Registered nurse – medical practice
64567	64567	74002	9435	1	87%	9435	0.872503446	1	Registered nurse – mental health; Registered nurse – psychiatric
57768	57768	67222	9454	1	86%	9454	0.859361519	1	Registered nurse – perioperative
58510	58510	69324	10814	1	84%	10814	0.844007847	1	Registered nurse – surgical
58233	58233	66040	7807	1	88%	7807	0.881783767	1	Rehabilitation counsellor
54416	54416	60213	5797	1	90%	5797	0.903725109	1	Remedial teacher; Special education teacher; Special needs teacher
155133	155133	298681	143548	1	52%	143548	0.519393601	1	Renal medicine specialist
32819	32819	37356	4537	1	88%	4537	0.878546954	1	Rental salesperson
73639	73639	107560	33921	1	68%	33921	0.684631833	1	Research and development manager
55764	55764	61815	6051	1	90%	6051	0.902111138	1	Research nurse
72940	72940	86995	14055	1	84%	14055	0.838438991	1	Resident medical officer
44156	44156	48798	4642	1	90%	4642	0.904873151	1	Residential care officer
37348	37348	48023	10675	1	78%	10675	0.777710680	1	Retail assistant – building and plumbing supplies; Sales representative – building and plumbing supplies; Salesperson – building and plumbing supplies; Shop assistant – building and plumbing supplies
38254	38254	54516	16262	1	70%	16262	0.701702253	1	Retail assistant – business services; Sales representative – business services; Salesperson – business services; Shop assistant – business services
41740	41740	52093	10353	1	80%	10353	0.801259286	1	Retail assistant – motor vehicle parts and accessories; Sales representative – motor vehicle parts and accessories; Salesperson – motor vehicle parts and accessories
29649	29649	38071	8422	1	78%	8422	0.778781750	1	Retail assistant – personal and household goods; Sales representative – personal and household goods; Salesperson – personal and household goods
40931	40931	46035	5104	1	89%	5104	0.889127838	1	Retail loss prevention officer
44338	44338	58522	14184	1	76%	14184	0.757629609	1	Retail store manager; Shop manager
60571	60571	73745	13174	1	82%	13174	0.821357380	1	Retirement village manager
169409	169409	256933	87524	1	66%	87524	0.659350881	1	Rheumatologist
80035	80035	103613	23578	1	77%	23578	0.772441682	1	Rigger – construction
59604	59604	64544	4940	1	92%	4940	0.923463064	1	Road roller operator
36258	36258	41305	5047	1	88%	5047	0.877811403	1	Road traffic controller
38520	38520	50323	11803	1	77%	11803	0.765455160	1	Roof plumber
46895	46895	42902	-3993	1	109%	-3993	1.093072584	1	Roof tiler
37467	37467	49521	12054	1	76%	12054	0.756588114	1	Roof truss detailer; Structural steel detailer
36154	36154	52963	16809	1	68%	16809	0.682627495	1	Rubber factory hand or labourer
39798	39798	44593	4795	1	89%	4795	0.892471913	1	Sailmaker
73780	73780	103242	29462	1	71%	29462	0.714631642	1	Sales and marketing manager; Marketing manager; Sales director or manager
54991	54991	73247	18256	1	75%	18256	0.750761123	1	Sales representative – other technical products
38790	38790	71101	32311	1	55%	32311	0.545561947	1	Sand-blaster
40514	40514	48668	8154	1	83%	8154	0.832456645	1	Saw operator – panel saw; Wood machinist
34358	34358	54615	20257	1	63%	20257	0.629094571	1	Saw repairer; Saw sharpener
39053	39053	42284	3231	1	92%	3231	0.923588118	1	Sawmill labourer; Timber yard worker
62178	62178	79188	17010	1	79%	17010	0.785194726	1	Scaffolder
40676	40676	45731	5055	1	89%	5055	0.889462290	1	School laboratory technician
104192	104192	110479	6287	1	94%	6287	0.943093258	1	School principal
33014	33014	33598	584	1	98%	584	0.982618013	1	School services officer; Teacher’s aide
41080	41080	55185	14105	1	74%	14105	0.744405183	1	Screen printer
29887	29887	41960	12073	1	71%	12073	0.712273594	1	Sculptor
27324	27324	30421	3097	1	90%	3097	0.898195326	1	Seafood packer
29969	29969	36557	6588	1	82%	6588	0.819788276	1	Seafood process worker
145208	145208	320452	175244	1	45%	175244	0.453134947	1	Securities and finance dealer
56331	56331	66872	10541	1	84%	10541	0.842370499	1	Security consultant
48311	48311	52658	4347	1	92%	4347	0.917448441	1	Security guard – security, alarm or surveillance monitor
26550	26550	39163	12613	1	68%	12613	0.677935807	1	Shearer
21369	21369	25912	4543	1	82%	4543	0.824675826	1	Shearing shed hand; Wool handler
39073	39073	47851	8778	1	82%	8778	0.816555558	1	Sheep farmer or farm overseer
77553	77553	128670	51117	1	60%	51117	0.602727909	1	Ship’s captain or master
		63464		1				1	Shipwright
34227	34227	42345	8118	1	81%	8118	0.808289054	1	Shoemaker or repairer
32328	32328	48802	16474	1	66%	16474	0.662431868	1	Sign erector
40348	40348	50585	10237	1	80%	10237	0.797627755	1	Signwriter
25939	25939	26515	576	1	98%	576	0.978276447	1	Ski instructor
36800	36800	48165	11365	1	76%	11365	0.764040278	1	Slaughterer
39679	39679	51561	11882	1	77%	11882	0.769554508	1	Small engine mechanic
40912	40912	61662	20750	1	66%	20750	0.663488048	1	Small offset printer
52760	52760	71499	18739	1	74%	18739	0.737912418	1	Social security assessor
52064	52064	54706	2642	1	95%	2642	0.951705480	1	Social worker
68744	68744	90332	21588	1	76%	21588	0.761014923	1	Software engineer
60187	60187	71130	10943	1	85%	10943	0.846154928	1	Software tester
64444	64444	89916	25472	1	72%	25472	0.716713377	1	Soil scientist
78400	78400	108329	29929	1	72%	29929	0.723721257	1	Sonographer
53540	53540	66254	12714	1	81%	12714	0.808102152	1	Spatial science technician; Surveying or spatial science technician; Surveying technician
207225	207225	315114	107889	1	66%	107889	0.657619147	1	Specialist physician – general medicine
207599	207599	344860	137261	1	60%	137261	0.601980514	1	Specialist physicians – other
52932	52932	59342	6410	1	89%	6410	0.891982070	1	Speech pathologist; Speech therapist
44797	44797	54730	9933	1	82%	9933	0.818509044	1	Sports administrator
50119	50119	59765	9646	1	84%	9646	0.838601188	1	Sports centre manager
30686	30686	50222	19536	1	61%	19536	0.611007128	1	Sports coach – other; Sports instructor – other
47151	47151	55608	8457	1	85%	8457	0.847917566	1	Sports development officer
34380	34380	67287	32907	1	51%	32907	0.510945651	1	Sportsperson – other sports official
48324	48324	62614	14290	1	77%	14290	0.771776280	1	Spray painter – industrial
		57570		1				1	Squash player
27458	27458	33728	6270	1	81%	6270	0.814101044	1	Stable hand; Strapper
61184	61184	81869	20685	1	75%	20685	0.747340263	1	Staff development officer; Training officer
47441	47441	61850	14409	1	77%	14409	0.767033145	1	Stage manager
31161	31161	42214	11053	1	74%	11053	0.738167433	1	Stagehand; Studio hand; Trades assistant
105855	105855	212652	106797	1	50%	106797	0.497785114	1	State governor
74737	74737	105473	30736	1	71%	30736	0.708588928	1	Statistician
41354	41354	59671	18317	1	69%	18317	0.693033467	1	Steel erector – structural
48468	48468	70255	21787	1	69%	21787	0.689886841	1	Steel fixer
38782	38782	45093	6311	1	86%	6311	0.860044796	1	Sterilisation technician
70116	70116	88541	18425	1	79%	18425	0.791904316	1	Stevedore; Waterside worker; Wharf labourer
57899	57899	67675	9776	1	86%	9776	0.855544884	1	Stock and station agent
124433	124433	238192	113759	1	52%	113759	0.522406294	1	Stock exchange dealer; Stockbroker
39589	39589	58583	18994	1	68%	18994	0.675776249	1	Stone processing machine operator
26433	26433	49886	23453	1	53%	23453	0.529868099	1	Stonemason
36659	36659	44673	8014	1	82%	8014	0.820607526	1	Storeperson; Warehouse assistant
25124	25124	31549	6425	1	80%	6425	0.796348537	1	Street vendor
48942	48942	59396	10454	1	82%	10454	0.823994882	1	Streetsweeper operator
73335	73335	107575	34240	1	68%	34240	0.681710435	1	Structural engineer
46222	46222	44479	-1743	1	104%	-1743	1.039187032	1	Student counsellor
41203	41203	52825	11622	1	78%	11622	0.779990535	1	Sugar cane grower
43526	43526	60316	16790	1	72%	16790	0.721632734	1	Sugar mill worker
79600	79600	97433	17833	1	82%	17833	0.816971663	1	Supply and distribution manager
48653	48653	48148	-505	1	101%	-505	1.010488494	1	Surfer
210796	210796	357996	147200	1	59%	147200	0.588822221	1	Surgeon – general
68526	68526	96477	27951	1	71%	27951	0.710283280	1	Surveyor
36685	36685	45256	8571	1	81%	8571	0.810610748	1	Surveyor’s assistant
34938	34938	92136	57198	1	38%	57198	0.379200313	1	Swimmer
24554	24554	29064	4510	1	84%	4510	0.844825213	1	Swimming instructor
40945	40945	51154	10209	1	80%	10209	0.800426164	1	Switchboard operator; Telephonist
33286	33286	40327	7041	1	83%	7041	0.825402336	1	TAB clerk
70777	70777	108514	37737	1	65%	37737	0.652238421	1	TAFE registrar; University registrar
52771	52771	82821	30050	1	64%	30050	0.637169317	1	Tanker driver
52006	52006	79982	27976	1	65%	27976	0.650221300	1	Tax agent or consultant
78482	78482	93378	14896	1	84%	14896	0.840476343	1	Tax investigator
59349	59349	65196	5847	1	91%	5847	0.910316584	1	Teacher – other school
55162	55162	67510	12348	1	82%	12348	0.817093764	1	Teacher of the hearing impaired
58511	58511	64593	6082	1	91%	6082	0.905841190	1	Teacher of the sight impaired
48698	48698	77609	28911	1	63%	28911	0.627478772	1	Technical cable jointer
70591	70591	76665	6074	1	92%	6074	0.920772191	1	Technical director – film, television, radio or stage
64492	64492	76126	11634	1	85%	11634	0.847174421	1	Technical writer
38982	38982	56082	17100	1	70%	17100	0.695089333	1	Telecommunications and data cabler
78067	78067	99246	21179	1	79%	21179	0.786600971	1	Telecommunications engineer
60854	60854	83239	22385	1	73%	22385	0.731075578	1	Telecommunications field engineer
35311	35311	75290	39979	1	47%	39979	0.468999867	1	Telecommunications lines worker
76342	76342	98668	22326	1	77%	22326	0.773726031	1	Telecommunications network engineer
77215	77215	92395	15180	1	84%	15180	0.835705395	1	Telecommunications network planner
64845	64845	87941	23096	1	74%	23096	0.737369373	1	Telecommunications technical officer
52124	52124	63733	11609	1	82%	11609	0.817849466	1	Television equipment operator; Vision mixer – television
72682	72682	100147	27465	1	73%	27465	0.725753143	1	Television journalist
30243	30243	35844	5601	1	84%	5601	0.843739538	1	Tennis coach
105619	105619	44522	-61097	1	237%	-61097	2.372287858	1	Tennis player
35759	35759	50076	14317	1	71%	14317	0.714094576	1	Textile dyeing and finishing machine operator
37375	37375	52086	14711	1	72%	14711	0.717563261	1	Textile, clothing and footwear mechanic
36508	36508	42509	6001	1	86%	6001	0.858829895	1	Therapist – other complementary health
127645	127645	315444	187799	1	40%	187799	0.404651856	1	Thoracic medicine specialist
41214	41214	49398	8184	1	83%	8184	0.834325276	1	Tourist adviser or officer
31411	31411	36127	4716	1	87%	4716	0.869460514	1	Tourist guide
46230	46230	51935	5705	1	89%	5705	0.890151150	1	Tow truck driver
74288	74288	95725	21437	1	78%	21437	0.776056412	1	Town planner; Urban and regional planner
89479	89479	110835	21356	1	81%	21356	0.807317183	1	Train controller
85882	85882	91383	5501	1	94%	5501	0.939802808	1	Train examiner
66925	66925	73851	6926	1	91%	6926	0.906216571	1	Tram driver
35698	35698	42907	7209	1	83%	7209	0.831985457	1	Translator
74211	74211	99337	25126	1	75%	25126	0.747063028	1	Transport engineer
59058	59058	80852	21794	1	73%	21794	0.730445753	1	Travel agency manager
37683	37683	46442	8759	1	81%	8759	0.811399165	1	Tree faller
22799	22799	32804	10005	1	70%	10005	0.695006706	1	Trekking guide
119219	119219	141419	22200	1	84%	22200	0.843019679	1	Tribunal member
24300	24300	23981	-319	1	101%	-319	1.013302198	1	Trolley collector
34571	34571	33985	-586	1	102%	-586	1.017242901	1	Truck driver’s offsider
60897	60897	85204	24307	1	71%	24307	0.714719966	1	Trust officer
38678	38678	52973	14295	1	73%	14295	0.730145546	1	Turf grower
		59132		1				1	Turner – porcelain
46254	46254	49126	2872	1	94%	2872	0.941538086	1	Tyre fitter
26049	26049	23161	-2888	1	112%	-2888	1.124692371	1	University tutor
213094	213094	433792	220698	1	49%	220698	0.491235431	1	Urologist
65054	65054	101812	36758	1	64%	36758	0.638962008	1	Valuer
271529	271529	417524	145995	1	65%	145995	0.650331478	1	Vascular surgeon
22122	22122	28142	6020	1	79%	6020	0.786084855	1	Vegetable farm worker
20434	20434	19979	-455	1	102%	-455	1.022773913	1	Vegetable picker
28208	28208	34720	6512	1	81%	6512	0.812442396	1	Vending machine attendant
64450	64450	96285	31835	1	67%	31835	0.669366983	1	Veterinarian
35993	35993	36872	879	1	98%	879	0.976160772	1	Veterinary nurse
62202	62202	71739	9537	1	87%	9537	0.867059758	1	Video production manager
25208	25208	36045	10837	1	70%	10837	0.699348037	1	Vineyard worker
53788	53788	63822	10034	1	84%	10034	0.842781486	1	Vocational education teacher or tutor
53046	53046	62707	9661	1	85%	9661	0.845934266	1	Warehouse manager
66106	66106	73686	7580	1	90%	7580	0.897131070	1	Waste water plant operator; Water plant operator
61540	61540	70677	9137	1	87%	9137	0.870721734	1	Water inspector
51789	51789	49965	-1824	1	104%	-1824	1.036505554	1	Weaver
53927	53927	66245	12318	1	81%	12318	0.814053891	1	Web administrator
53284	53284	64079	10795	1	83%	10795	0.831536073	1	Web designer
51259	51259	65322	14063	1	78%	14063	0.784712654	1	Web journalist
59363	59363	70555	11192	1	84%	11192	0.841371979	1	Web programmer
37277	37277	54131	16854	1	69%	16854	0.688644215	1	Weighbridge operator
29229	29229	58483	29254	1	50%	29254	0.499786263	1	Weight loss consultant
50467	50467	64536	14069	1	78%	14069	0.781997645	1	Welder
57529	57529	63584	6055	1	90%	6055	0.904771641	1	Welfare centre manager
47479	47479	53590	6111	1	89%	6111	0.885967531	1	Welfare officer
24403	24403	27555	3152	1	89%	3152	0.885610597	1	Whitewater rafting guide
91823	91823	122006	30183	1	75%	30183	0.752610527	1	Wholesaling company director; Wholesaler
27382	27382	38155	10773	1	72%	10773	0.717651684	1	Window cleaner
42804	42804	45442	2638	1	94%	2638	0.941947978	1	Window dresser
28026	28026	46263	18237	1	61%	18237	0.605797289	1	Windscreen fitter
71289	71289	78908	7619	1	90%	7619	0.903444518	1	Wine maker
37265	37265	41131	3866	1	91%	3866	0.906007634	1	Wood and wood products factory worker
38588	38588	49726	11138	1	78%	11138	0.776012549	1	Wood processing machine operator – other
		35801		1				1	Wood turner
59942	59942	83117	23175	1	72%	23175	0.721176173	1	Wool buyer
30433	30433	38782	8349	1	78%	8349	0.784719715	1	Wool classer
33234	33234	53075	19841	1	63%	19841	0.626170513	1	Yarn carding and spinning machine operator
40804	40804	46328	5524	1	88%	5524	0.880763253	1	Youth worker
41988	41988	47905	5917	1	88%	5917	0.876484709	1	Zookeeper
